placekey,location_name,latitude,longitude,street_address,city,region,zip,brands,safegraph_brand_ids,naics_code,wkt_area_sq_meters,date_range_start,poi_cbg,tract
zzw-222@63v-zsx-7t9,Taco Bell,42.975918,-82.453344,729 24th St,Port Huron,MI,48060,Taco Bell,SG_BRAND_748ba381dd81bb8de615319837ffa350,722513,321,2020-01-01,261476360002,26147636000
zzw-222@5p2-5tx-xt9,Whiting Christian Church,42.128203,-96.155989,716 West St,Whiting,IA,51063,,,813110,1857,2020-01-01,191339602002,19133960200
228-226@5vg-87x-qmk,Mountain Of Fire And Miracles Ministries,37.674181,-122.081401,1090 B St Ste 157,Hayward,CA,94541,,,813110,596,2020-01-01,060014354002,06001435400
zzw-222@63j-kdm-wx5,Epworth Methodist Church,40.588658,-83.124685,249 E Center St,Marion,OH,43302,,,813110,1517,2020-01-01,391010001001,39101000100
zzw-222@8f3-jdr-2rk,Mt Aid Baptist Church,30.655149,-87.86127,9470 US Highway 90,Daphne,AL,36526,,,813110,547,2020-01-01,010030107032,01003010703
zzw-222@5pr-33z-xt9,Kids 4 Truth International,39.075322,-94.382694,16657 E 23rd St S # 246,Independence,MO,64055,,,813110,495,2020-01-01,290950146041,29095014604
22b-224@5vg-848-p7q,Izumi Revolving Sushi,37.671819,-122.471637,94B Serramonte Ctr,Daly City,CA,94015,,,722513,138,2020-01-01,060816016041,06081601604
zzw-22k@5z6-2rz-k2k,Carl's Jr.,33.660906,-117.874665,2092 SE Bristol St,Newport Beach,CA,92660,Carl's Jr.,SG_BRAND_a9ecc89d97cef851492e57cd04f9d51b,722513,332,2020-01-01,060590631012,06059063101
zzy-22s@8sw-rxd-rx5,Hunt Brothers Pizza,28.981631,-97.501008,207 E Main Street,Yorktown,TX,78164,Hunt Brothers Pizza,SG_BRAND_d1f227ed013c6a60,722513,301,2020-01-01,481239705001,48123970500
zzy-222@8gp-5kp-gp9,Pine Level Baptist Church,29.962021,-82.173889,W Highway 100,Starke,FL,32091,,,813110,1236,2020-01-01,120070002001,12007000200
222-223@5vg-7qj-jd9,Mission of the Holy Spirit,37.868009,-122.263042,2300 Bancroft Way,Berkeley,CA,94704,,,813110,3588,2020-01-01,060014228003,06001422800
222-222@627-rw7-3yv,Kingdom Hall Jehovah's Witnesses Enedwald Unit,40.880865,-73.846669,1217 E 222nd St,Bronx,NY,10469,,,813110,356,2020-01-01,360050386001,36005038600
zzy-223@8gg-hr4-kzz,Providence AME Church,34.174174,-81.386895,701 Meadowlark Rd,Little Mountain,SC,29075,,,813110,354,2020-01-01,450630212062,45063021206
zzw-223@5qt-h4n-5fz,Church of Christ,34.649838,-99.321965,1211 N Thomas St,Altus,OK,73521,,,813110,759,2020-01-01,400659686002,40065968600
227-226@8t2-fkh-4sq,Peter A Nixon MD,30.30426,-97.741848,801 W 38th St Ste 200,Austin,TX,78705,,,621111,7677,2020-01-01,484530002041,48453000204
222-222@8gk-trr-k2k,McDonald's,33.334786,-86.782565,580 Cahaba Valley Rd,Pelham,AL,35124,McDonald's,SG_BRAND_5179b21fc1d50950b99b4eecaa48c614,722513,695,2020-01-01,011170303151,01117030315
225-222@5z5-pyv-5fz,Plant Power Fast Food,33.035987,-117.28393,411 Santa Fe Dr,Encinitas,CA,92024,,,722513,106,2020-01-01,060730174011,06073017401
zzw-222@627-s6g-9vf,Texas Chicken and Burgers,40.813293,-73.941966,471 Malcolm X Blvd,New York,NY,10037,Texas Chicken and Burgers,SG_BRAND_ce5374dceb27c776,722513,198,2020-01-01,360610226001,36061022600
222-222@5nx-pd3-qcq,McDonald's,43.63263,-95.594306,1320 Ray Dr,Worthington,MN,56187,McDonald's,SG_BRAND_5179b21fc1d50950b99b4eecaa48c614,722513,438,2020-01-01,271051054001,27105105400
22h-222@62k-j3v-87q,Calvary Bible Baptist Church,41.805579,-71.882699,162 Main St,Danielson,CT,6239,,,813110,1623,2020-01-01,090159045003,09015904500
222-222@5xc-k5y-s3q,Church of the Nazarene Central,45.624477,-122.589067,8100 E Mill Plain Blvd,Vancouver,WA,98664,,,813110,1809,2020-01-01,530110412053,53011041205
222-223@63r-6wp-mkz,St Mary's Church Laurel,39.10805,-76.855896,114 Saint Marys Pl,Laurel,MD,20707,,,813110,1222,2020-01-01,240338001021,24033800102
223-222@5pj-k77-jjv,First Baptist Church of Rolla,37.950475,-91.768138,801 N Cedar St,Rolla,MO,65401,,,813110,2107,2020-01-01,291618908002,29161890800
22b-222@5z4-rh6-z4v,Mountain Mike's Pizza,33.911341,-117.866596,2435 E Imperial Hwy Ste A,Brea,CA,92821,Mountain Mike's Pizza,SG_BRAND_1e8f4e48e8ede5113518c2d5acea36fa,722513,466,2020-01-01,060590218144,06059021814
222-224@5q9-9yj-3dv,Sushi Moon,39.597195,-104.89627,6585 Greenwood Plaza Blvd,Greenwood Village,CO,80111,,,722513,671,2020-01-01,080050067122,08005006712
222-222@5s5-phb-3h5,Little Caesars,43.035667,-85.616895,4016 Plainfield Ave NE,Northview,MI,49525,Little Caesars,SG_BRAND_3654ed70612445d52bf3b6f6546d1f23,722513,157,2020-01-01,260810113024,26081011302
zzw-223@8dz-9wm-mp9,Papa Poblanos Mexican Cafe,33.228595,-92.665915,1650 N West Ave,El Dorado,AR,71730,,,722513,269,2020-01-01,051399507002,05139950700
226-224@5z5-3rn-whq,Wingstop,34.08489,-118.222258,2619 N Figueroa St Ste C,Los Angeles,CA,90065,Wingstop,SG_BRAND_f0d6a9105f01c1e7fe9b106cfd4b5815,722513,1459,2020-01-01,060371853202,06037185320
222-223@8dx-755-wtv,Trinity Lutheran Church,30.459271,-91.061845,10925 Florida Blvd,Baton Rouge,LA,70815,,,813110,1980,2020-01-01,220330036032,22033003603
